GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commercial_destroyed,Residential_damaged,Commercial_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Removal_reason,Certainty
R107,1978,1978,8,28,Unnamed,No 145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Kondara (Safedobdara),Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R108,1983,1983,8,1,Unnamed,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Daraipshiharvu (Pshikharva),Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R109,2008,2008,4,9,Jianmu Puqu,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-09,19,China,TAR,Palong Tsangpo,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R110,1980,1980,6,6,No 17,Zharsay,NA,NA,NA,43.152,77.408,3380,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Esik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R111,1981,1981,6,19,Bogatyr,Unnamed,NA,NA,NA,43.03,77.3,NA,NA,NA,NA,NA,NA,NA,NA,,,Kazakhstan,,Chilik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R112,1982,1982,7,30,Unknown,Zharsay,NA,NA,NA,43.16,77.42,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Esik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; possibly a mix up of dates as there was an event on 1977/7/3",1
R113,1983,1983,8,5,Xiaga,No 224,NA,NA,NA,43.149611,77.549121,3585,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Turgen,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; possibly a mix up of dates as there was an event on 1977/7/3",1
R114,1990,1990,7,7,Unknown,Yubileynyy (No126),NA,NA,NA,43.1706,77.2952,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; definitely incorrect coordinates",1
R115,1992,1992,7,10,No 16,No 25,NA,NA,NA,42.923032,76.601807,3430,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Kaskelen,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; definitely incorrect coordinates",1
R116,1994,1994,7,3,No 3,Arshaly,NA,NA,NA,42.97,77.03,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; coordinates unclear",1
R117,1995,1995,6,21,No 9,Unnamed,NA,NA,NA,43,77.1,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; definitely incorrect coordinates",1
R118,1996,1996,8,11,Unknown,Aristova,NA,NA,NA,43.08,77.15,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; definitely incorrect coordinates",1
R119,1997,1997,6,15,Unknown,Aristova,NA,NA,NA,43.08,77.15,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; definitely incorrect coordinates",1
R120,1997,1997,7,16,Unknown,Molodeshnyi,NA,NA,NA,43.015885,77.024342,3481,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R121,1997,1997,7,17,Unknown,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
