GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Remarks
GF074079E36622N_6,1905,1905,6,17,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,35.926146,74.266804,1470,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Todd, 1930; Iturrizaga, 2005a)",,"Glacier dam broke at midnight 17/18th June, flood arrived at Gilgit at 8.30 am, 20 feet, above high-flood level"
GF076820E41978N_0,2014,2014,7,17,Karateke,Solnechnyi,GL076820E41978N,"2, 4",G076812E41971N,41.978,76.821,3758,42.034302,76.892969,2289,Deposit,Moraine dammed,N,N,13-03,4,Kyrgyzstan,,,unknown,unknown,unknown,,123000,,,,,,,,,,,,,,,,,,,,,"damaged several houses, the road and the electric power line",,,,"(Medeu et al., 2016)",,
GF076477E43006N_0,2015,2015,7,23,Kargalinka,lake number 1,not mapped,NA,G076853E42998N,43.0067,76.8477,3523,43.137,76.865,1350,Deposit,Supraglacial,N,N,13-03,4,Kazakhstan,,Kargaly,unknown,high temperatures,subglacial tunnel,40000,325000,5,25,,,,,,76,,,,1000,,,,,,,127,,,,,,"(this study; Medeu et al., 2022)",https://earthobservatory.nasa.gov/images/86300/glacier-lake-outburst-flood-near-almaty,
GF076994E41858N_0,2006,2006,NA,NA,Kashka-Suu,Kashka-Suu,not mapped,NA,G076993E41856N,41.85897,76.99497,3872,41.866,77.043,3018,Deposit,Moraine dammed,N,N,13-03,4,Kyrgyzstan,,,unknown,unknown,subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2018)",,
GF073359E36189N_0,1999,1999,8,6,Khalti,unnamed,GL073359E36189N,"1, 2, 3, 4",G073361E36179N,36.188,73.359,4414,36.247,73.375,2231,Observation,Moraine dammed,N,N,14-01,8,Pakistan,Gilgit - Baltistan,Gilgit,unknown,intense rainfall,unknown,, , , , , , , , ,,,, ,,,,, , , ,,, , , , ,"(Din et al., 2014; Amin et al., 2020)",,
GF088026E27766N_0,Before 1962,NA,NA,NA,Khangpachen,Ramdan,ephemeral,NA,G088084E27730N,27.766255,88.02664,4780,NA,NA,NA,NA,Supraglacial,N,N,15-02,11,Nepal,Province No. 1,Tamor,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Byers et al., 2020)",,
GF075474E36344N_0,1882,1882,9,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994; Bazai et al., 2021)",,
GF075474E36344N_1,1884,1884,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.308712,74.662465,2077,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,, , ,, , , , , ,,,,,,,, , , ,,,,Damage to lands at Altit and Ganesh,, , ,"(Todd, 1930; Bazai et al., 2021)",,Rise of 10 ft. by Aug 9-lOth. on O.S.R. Considerable devastation at Ganesh and Altit in Hunza Valley
GF075474E36344N_2,1890,1890,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 2014; Bazai et al., 2021)",,
GF075474E36344N_3,1893,1893,7,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.308712,74.662465,2077,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,Damage to lands at Altit ,,,,"(Mason, 1929a; Kreutzmann, 1994)",,
GF075474E36344N_4,1901,1901,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.308712,74.662465,2077,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,"Breaking of a dam, bridge at Ganesh destroyed",,,,"(Kreutzmann, 1994)",,
